Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
0,37100,7870,"1. 0 is a black metal band from Iceland, consisting of:

D.G. - Guitars
TMS - Drums
S.S. - Vocals
Ö.S. - Guitars
H.K.F. - Bass 

They have released two full length albums to date; 2014's Null & Void, and 2020's Entity. <a href=""https://www.last.fm/music/+noredirect/0"">Read more on Last.fm</a>",
DJ Snake,35832115,1988314,"William Grigahcine, better known by his stage name DJ Snake, is a franco-algerian DJ, rapper and producer mixing hip hop and electronic music.

He is a Grammy-nominated producer and artist who debuted into the international scene with singles ""Bird Machine"" and ""Turn Down for What"" in 2013. ""Bird Machine"" is a collaboration with fellow French act Alesia. The single was picked up by Mad Decent, a Los Angeles-based record label run by Diplo, and released in February 2013. <a href=""https://www.last.fm/music/DJ+Snake"">Read more on Last.fm</a>","Martin Garrix, Jack Ü, David Guetta, Jonas Blue, Marshmello"
Maribou State,10792893,520789,"Maribou State is Chris Davids and Liam Ivory from Hertfordshire. Liam asked Chris to play bass for his band. When they moved up north to go to university, the band fell by the wayside and the pair began making electronic music in their home studio, forging a partnership that would soon become Maribou State.

In the summer of 2011 they were scouted by Fat! Records and put out their debut release, the 'Olivia' EP, which set a blueprint for Maribou State's trademark bass-heavy, melodic sound. <a href=""https://www.last.fm/music/Maribou+State"">Read more on Last.fm</a>","Catching Flies, George Fitzgerald, Tourist, Elder Island, Bonobo"
Xinobi,1041975,161177,"Xinobi is a part of a generation that grew up within the music-blog eruption fueled by Do It Yourself ethics. His sophomore album On The Quiet was up-fronted by the hits Far Away Place and Searching For (a collaboration with Lazarusman). A dance floor-focused story about the transition of many electronic musicians from punk rock & skateboarding into house music and about how dance-music can be a field for social conscious awareness. In the following years <a href=""https://www.last.fm/music/Xinobi"">Read more on Last.fm</a>","Moullinex, Gallago, Agoria, Klangkarussell, Eli & Fur"
Rhye,16512246,723439,"Rhye is the musical project of Toronto native Milosh. Originally conceived as a collaboration between him and Robin Hannibal of Danish electro-soul outfit Quadron, the project has evolved into a music collective led by Milosh and focused around its associated live band.   <a href=""https://www.last.fm/music/Rhye"">Read more on Last.fm</a>","Her, Neil Frances, Two Another, Jamie Woon, Låpsley"
Ash,13133185,824059,"There are 4 artists with this name.

1) Ash is an alternative rock band that formed in Downpatrick, Northern Ireland in 1992. The media originally pegged Ash's music as Britpop when the band first found mainstream success.

The current line-up of the group is as follows: Tim Wheeler (vocals and guitar), Mark Hamilton (bass guitar) and Rick McMurray (drums).

Ash's full-length debut ""1977"" was released in 1996 and followed 1994's mini album ""Trailer"". <a href=""https://www.last.fm/music/Ash"">Read more on Last.fm</a>","Feeder, Shed Seven, The Bluetones, Dodgy, Idlewild"
Guy Gerber,1046585,152263,"The man responsible for those ends of night moments on some of the most respected dance floors across the globe is more than likely Guy Gerber.

As cited in the UK dance floor bible Mixmag, his universally embraced single on Bedrock Records ""Stoppage Time"" became a stand out anthem at the likes of Cocoon at Amnesia, and Dc10 in Ibiza along with Secretsundaze in London. The single has surpassed the 5-digit mark in sales and continues to shift by the truckload and to appear on numerous compilations from artists as diverse as BPitch Controls Kiki <a href=""https://www.last.fm/music/Guy+Gerber"">Read more on Last.fm</a>","Guy J, Fideles, Minilogue, Mathew Jonson, Sven Väth"
Fatboy Slim,41288467,2335976,"Fatboy Slim is a pseudonym of Quentin Leo Cook (b. 31 Jul 1963 in Reigate, Surrey - aka Norman Cook), an English big beat musician.

Quentin Leo Cook was educated at Reigate Grammar School. He started a punk fanzine titled Peroxide with his neighbour Andrew Thomas and art student Ian McKay (formerly Laidlaw). Contemporary with his publishing activities, he played drums in Disque Attack (a British new-wave-influenced rock band) for which he later performed lead vocals. <a href=""https://www.last.fm/music/Fatboy+Slim"">Read more on Last.fm</a>","The Chemical Brothers, The Prodigy, Apollo 440, Propellerheads, Groove Armada"
Thom Yorke,44320540,1505059,"Thomas Edward Yorke is an English musician who is the main vocalist and songwriter of the rock band Radiohead. A multi-instrumentalist, he mainly plays guitar and keyboards and is noted for his falsetto. He has been described by Rolling Stone as one of the greatest and most influential singers of his generation.

Yorke formed Radiohead with schoolmates at Abingdon School in Oxfordshire. Their 1992 debut single, ""Creep"", made Yorke a celebrity, and Radiohead went on to achieve critical acclaim and sales of over 30 million albums. <a href=""https://www.last.fm/music/Thom+Yorke"">Read more on Last.fm</a>","Atoms for Peace, Radiohead, Burial & Four Tet & Thom Yorke, Jonny Greenwood, Philip Selway"
El Búho,770948,61338,"El Buho aka Robin Perkins is an English musician living in Amsterdam.  

He is bridging the gap between Latin American rhythms, digital bleeps, owl bass and found sounds, inspired by Birds, Cumbia, the Andes, Bass, clicks & claps.

His radio show Rhythm and Roots on Groovalizacion radio is a fantastic introduction to sounds from all over the world and throws the Subtropikal nights in Amsterdam, lived a year in Buenos Aires, where unbeknownst to both, were both in the crowd of the famed ZZK parties, finding inspiration for what was to come. <a href=""https://www.last.fm/music/El+B%C3%BAho"">Read more on Last.fm</a>","Chancha Vía Circuito, Chancha Via Circuito, Umoja, Joaquín Cornejo, Yaima"
